dataset,n_requested,n_used,SSE,MSE,explained_fraction
housing,1,1,2024.2476398579006,0.26530113235359115,0.9999992098883408
housing,2,2,1479.953645570962,0.19396509116264246,0.9999994223391411
housing,3,3,1119.6657024833219,0.1467451772586267,0.9999995629680339
housing,5,5,699.5188438023836,0.09168005816545001,0.9999997269612754
housing,7,7,407.2198886948292,0.053370889737199105,0.9999998410524605
housing,10,10,131.52443258617313,0.01723780243593357,0.999999948662908
housing,15,14,1.805341271980477e-22,2.3661091375890917e-26,1.0
advertising,1,1,137786.12440737645,229.64354067896076,0.9141557719626412
advertising,2,2,35086.87584251773,58.47812640419622,0.9781399920790403
advertising,3,3,4.399228099305098e-25,7.332046832175163e-28,1.0
advertising,5,3,4.399228099305098e-25,7.332046832175163e-28,1.0
advertising,7,3,4.399228099305098e-25,7.332046832175163e-28,1.0
advertising,10,3,4.399228099305098e-25,7.332046832175163e-28,1.0
advertising,15,3,4.399228099305098e-25,7.332046832175163e-28,1.0
